,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
418,1,20.98,0,2.27,5.81,0.34,3.87,0.03,26.65,1.7,0,0.02,23.53,1.13,0.17,0.96,0.23,0.01,0.01,14.74,0,2.84,0,0,1
419,1,11.1,0,1.2,3.08,0.18,2.05,0.02,14.1,0.9,0,0.01,12.45,0.6,0.09,0.51,0.12,0,0.01,7.8,0,1.5,0,0,2
420,,80.23,0,6.78,22.26,1.36,15.07,0.11,160.46,6.78,0.01,0.09,96.05,4.52,0.16,3.96,1.24,0.03,0.04,88.14,0,15.82,0,0,0
421,4,80.23,0,6.78,22.26,1.36,15.07,0.11,160.46,6.78,0.01,0.09,96.05,4.52,0.16,3.96,1.24,0.03,0.04,88.14,0,15.82,0,0,0
422,4,80.23,0,6.78,22.26,1.36,15.07,0.11,160.46,6.78,0.01,0.09,96.05,4.52,0.16,3.96,1.24,0.03,0.04,88.14,0,15.82,0,0,0
423,1,20.13,0,1.7,5.58,0.34,3.78,0.03,40.26,1.7,0,0.02,24.1,1.13,0.04,0.99,0.31,0.01,0.01,22.11,0,3.97,0,0,1
424,1,10.65,0,0.9,2.96,0.18,2,0.02,21.3,0.9,0,0.01,12.75,0.6,0.02,0.52,0.16,0,0.01,11.7,0,2.1,0,0,2
425,,119,0.17,3.4,31.79,4.59,18.65,1.02,353.6,25.5,0.04,0.17,275.4,17,0.19,26.86,1.36,0.15,0.11,178.5,25.5,42.5,0,0,0
426,1,19.84,0.03,0.57,5.3,0.77,3.11,0.17,58.97,4.25,0.01,0.03,45.93,2.84,0.03,4.48,0.23,0.02,0.02,29.77,4.25,7.09,0,0,1
427,,77.97,0.11,5.65,20.9,3.05,12.4,0.68,511.89,16.95,0.02,0.1,200.01,11.3,0.68,17.63,0.9,0.09,0.07,257.64,37.29,61.02,0,0,0
428,4,77.97,0.11,5.65,20.9,3.05,12.4,0.68,511.89,16.95,0.02,0.1,200.01,11.3,0.68,17.63,0.9,0.09,0.07,257.64,37.29,61.02,0,0,0
429,4.25,82.8,0.12,6,22.2,3.24,13.16,0.72,543.6,18,0.03,0.11,212.4,12,0.72,18.72,0.96,0.1,0.07,273.6,39.6,64.8,0,0,0
430,1,19.56,0.03,1.42,5.24,0.77,3.11,0.17,128.43,4.25,0.01,0.03,50.18,2.84,0.17,4.42,0.23,0.02,0.02,64.64,9.36,15.31,0,0,1
431,1,10.35,0.02,0.75,2.78,0.4,1.65,0.09,67.95,2.25,0,0.01,26.55,1.5,0.09,2.34,0.12,0.01,0.01,34.2,4.95,8.1,0,0,2
432,6,117.3,0.68,28.9,27.2,0.68,16,0.68,338.3,23.8,0.05,0.32,79.9,6.8,0.26,1.02,12.24,0.03,0.34,88.4,1.7,227.8,0,25.5,0
433,,117.3,0.68,28.9,27.2,0.68,16,0.68,338.3,23.8,0.05,0.32,79.9,6.8,0.26,1.02,12.24,0.03,0.34,88.4,1.7,227.8,0,25.5,0
434,1,10.35,0.06,2.55,2.4,0.06,1.41,0.06,29.85,2.1,0,0.03,7.05,0.6,0.02,0.09,1.08,0,0.03,7.8,0.15,20.1,0,2.25,2
435,4,74.58,0.34,28.25,17.49,0.68,10.5,0.45,150.29,16.95,0.02,0.9,51.98,4.52,0.12,0.45,14.01,0.02,0.02,39.55,1.13,100.57,0,16.95,0
436,,74.58,0.34,28.25,17.49,0.68,10.5,0.45,150.29,16.95,0.02,0.9,51.98,4.52,0.12,0.45,14.01,0.02,0.02,39.55,1.13,100.57,0,16.95,0
437,1,9.9,0.04,3.75,2.32,0.09,1.39,0.06,19.95,2.25,0,0.12,6.9,0.6,0.02,0.06,1.86,0,0,5.25,0.15,13.35,0,2.25,2
438,4,58.75,0.12,5,14,0.38,13.12,0.25,22.5,8.75,0.01,0.04,137.5,3.75,0.02,0.25,40.12,0.04,0.02,13.75,0,0,0,0,0
439,4,58.75,0.12,5,14,0.38,13.12,0.25,22.5,8.75,0.01,0.04,137.5,3.75,0.02,0.25,40.12,0.04,0.02,13.75,0,0,0,0,0
440,4,58.75,0.12,5,14,0.38,13.12,0.25,22.5,8.75,0.01,0.04,137.5,3.75,0.02,0.25,40.12,0.04,0.02,13.75,0,0,0,0,0
441,,58.75,0.12,5,14,0.38,13.12,0.25,22.5,8.75,0.01,0.04,137.5,3.75,0.02,0.25,40.12,0.04,0.02,13.75,0,0,0,0,0
442,1,14.66,0.03,1.25,3.49,0.09,3.28,0.06,5.62,2.18,0,0.01,34.32,0.94,0.01,0.06,10.02,0.01,0.01,3.43,0,0,0,0,1
443,1,12.79,0.06,0.94,3.09,0.03,2.8,0.03,1.56,1.56,0,0.01,30.58,0.94,0.01,0.12,18.19,0.01,0.01,0.94,0,0,0,0,2
444,,52.07,0.25,3.81,12.57,0.13,11.4,0.13,6.35,6.35,0.01,0.04,124.46,3.81,0.03,0.51,74.04,0.04,0.05,3.81,0,0,0,0,0
445,4,57.5,0.25,3.75,14.18,0.12,13.62,0.12,5,7.5,0.01,0.05,112.5,3.75,0,0,169.88,0.04,0.1,2.5,0,0,0,0,0
446,4.2,60.26,0.26,3.93,14.86,0.13,14.28,0.13,5.24,7.86,0.01,0.05,117.9,3.93,0,0,178.03,0.04,0.1,2.62,0,0,0,0,0
447,4,57.5,0.25,3.75,14.18,0.12,13.62,0.12,5,7.5,0.01,0.05,112.5,3.75,0,0,169.88,0.04,0.1,2.5,0,0,0,0,0
448,4,57.5,0.25,3.75,14.18,0.12,13.62,0.12,5,7.5,0.01,0.05,112.5,3.75,0,0,169.88,0.04,0.1,2.5,0,0,0,0,0
449,1,14.35,0.06,0.94,3.54,0.03,3.4,0.03,1.25,1.87,0,0.01,28.08,0.94,0,0,42.4,0.01,0.02,0.62,0,0,0,0,1
450,,58.42,0.25,3.81,14.4,0.13,13.84,0.13,5.08,7.62,0.01,0.05,114.3,3.81,0,0,172.59,0.04,0.1,2.54,0,0,0,0,0
451,1,13.1,0.03,0.31,3.28,0.03,2.99,0.06,19.66,0.94,0,0.01,30.26,0.94,0.05,0.16,18.25,0.01,0.01,9.67,0,4.06,0,0,1
452,,53.34,0.13,1.27,13.34,0.13,12.18,0.25,80.01,3.81,0.01,0.04,123.19,3.81,0.19,0.64,74.3,0.03,0.05,39.37,0,16.51,0,0,0
453,1,15.29,0,0.31,3.84,0.03,3.6,0.03,13.42,1.56,0.01,0.01,31.51,0.94,0.01,0.25,18.16,0.01,0.01,7.49,0,1.56,0,0,1
454,,62.23,0,1.27,15.62,0.13,14.66,0.13,54.61,6.35,0.03,0.04,128.27,3.81,0.05,1.02,73.91,0.04,0.05,30.48,0,6.35,0,0,0
455,4,91.25,0.12,6.25,22.5,0.12,13.22,0.25,20,11.25,0.01,0.06,185,8.75,0.06,1.62,84.38,0.04,0.08,10,1.25,2.5,0,0,0
456,1,22.78,0.03,1.56,5.62,0.03,3.3,0.06,4.99,2.81,0,0.02,46.18,2.18,0.02,0.41,21.06,0.01,0.02,2.5,0.31,0.62,0,0,1
457,,92.71,0.13,6.35,22.86,0.13,13.44,0.25,20.32,11.43,0.01,0.06,187.96,8.89,0.06,1.65,85.72,0.04,0.08,10.16,1.27,2.54,0,0,0
458,4,58.75,0.12,3.75,14.62,0.12,13.38,0,22.5,5,0.01,0.04,113.75,3.75,0.75,0,72.38,0.04,0.05,10,0,7.5,0,0,0
459,4.2,61.57,0.13,3.93,15.33,0.13,14.02,0,23.58,5.24,0.01,0.04,119.21,3.93,0.79,0,75.85,0.04,0.05,10.48,0,7.86,0,0,0
460,4,58.75,0.12,3.75,14.62,0.12,13.38,0,22.5,5,0.01,0.04,113.75,3.75,0.75,0,72.38,0.04,0.05,10,0,7.5,0,0,0
461,4,58.75,0.12,3.75,14.62,0.12,13.38,0,22.5,5,0.01,0.04,113.75,3.75,0.75,0,72.38,0.04,0.05,10,0,7.5,0,0,0
462,1,14.9,0.03,0.95,3.71,0.03,3.39,0,5.71,1.27,0,0.01,28.85,0.95,0.19,0,18.35,0.01,0.01,2.54,0,1.9,0,0,1
463,,59.69,0.13,3.81,14.86,0.13,13.59,0,22.86,5.08,0.01,0.04,115.57,3.81,0.76,0,73.53,0.04,0.05,10.16,0,7.62,0,0,0
464,,85.05,0.19,5.67,20.98,0.76,17.01,0.11,0,240.03,0.04,0.06,173.88,11.34,0,0,40.07,0.06,0.02,0,0,0,0,0,0
465,,118.08,0.25,12.3,28.04,1.23,23.62,0.74,7579.26,36.9,0.02,0.2,337.02,17.22,0.84,1.72,83.89,0.17,0.08,4548.54,0,0,0,0,0
466,1,14.78,0.03,1.54,3.51,0.15,2.96,0.09,948.95,4.62,0,0.02,42.2,2.16,0.1,0.22,10.5,0.02,0.01,569.49,0,0,0,0,1
467,4,58.75,0.12,5,14.5,0.12,10.58,0.12,52.5,10,0.03,0.04,126.25,6.25,0.05,1.12,79.5,0.05,0.05,23.75,13.75,1.25,0,0,0
468,1,14.66,0.03,1.25,3.62,0.03,2.64,0.03,13.1,2.5,0.01,0.01,31.51,1.56,0.01,0.28,19.84,0.01,0.01,5.93,3.43,0.31,0,0,1
469,,59.69,0.13,5.08,14.73,0.13,10.74,0.13,53.34,10.16,0.03,0.04,128.27,6.35,0.05,1.14,80.77,0.05,0.05,24.13,13.97,1.27,0,0,0
470,4,58.75,0.12,5,14.38,0.12,12.54,0.5,33.75,6.25,0.05,0.04,167.5,7.5,0.02,0.12,40.12,0.08,0.06,6.25,1.25,27.5,0,0,0
471,1,14.66,0.03,1.25,3.59,0.03,3.13,0.12,8.42,1.56,0.01,0.01,41.81,1.87,0.01,0.03,10.02,0.02,0.01,1.56,0.31,6.86,0,0,1
472,,59.69,0.13,5.08,14.6,0.13,12.74,0.51,34.29,6.35,0.05,0.04,170.18,7.62,0.03,0.13,40.77,0.08,0.06,6.35,1.27,27.94,0,0,0
473,1,13.42,0.06,0.94,3.15,0,0,0.12,22.78,3.12,0.01,0.01,43.06,1.56,0,0,23.99,0.01,0.01,0,0,0,0,0,3
474,,54.61,0.25,3.81,12.83,0,0,0.51,92.71,12.7,0.05,0.04,175.26,6.35,0,0,97.66,0.05,0.05,0,0,0,0,0,3
475,1,14.35,0.03,1.87,3.4,0.03,0,0.25,67.39,1.87,0.02,0.01,62.09,2.18,0,0,26.8,0.02,0.03,0,0,0,0,0,3
476,,58.42,0.13,7.62,13.84,0.13,0,1.02,274.32,7.62,0.07,0.05,252.73,8.89,0,0,109.09,0.07,0.11,0,0,0,0,0,3
477,1,15.6,0.03,0.94,3.71,0,0,0.22,14.35,5.3,0.02,0.03,62.4,4.37,0,0,10.61,0.02,0.01,0,0,0,0,0,3
478,,63.5,0.13,3.81,15.11,0,0,0.89,58.42,21.59,0.06,0.11,254,17.78,0,0,43.18,0.07,0.05,0,0,0,0,0,3
479,1,14.98,0.03,0.62,3.65,0.03,0,0.16,9.67,2.5,0.02,0.01,43.99,2.81,0,0,16.66,0.02,0.01,0,0,0,0,0,3
480,,60.96,0.13,2.54,14.86,0.13,0,0.64,39.37,10.16,0.06,0.05,179.07,11.43,0,0,67.82,0.08,0.06,0,0,0,0,0,3
481,4,55,0.38,1.25,12.75,0.12,10.32,0.75,68.75,15,0.06,0.08,230,11.25,0.05,0.12,78.12,0.07,0.06,11.25,2.5,58.75,0,0,0
482,4,55,0.38,1.25,12.75,0.12,10.32,0.75,68.75,15,0.06,0.08,230,11.25,0.05,0.12,78.12,0.07,0.06,11.25,2.5,58.75,0,0,0
483,4,55,0.38,1.25,12.75,0.12,10.32,0.75,68.75,15,0.06,0.08,230,11.25,0.05,0.12,78.12,0.07,0.06,11.25,2.5,58.75,0,0,0
484,1,13.73,0.09,0.31,3.18,0.03,2.58,0.19,17.16,3.74,0.01,0.02,57.41,2.81,0.01,0.03,19.5,0.02,0.01,2.81,0.62,14.66,0,0,1
485,,55.88,0.38,1.27,12.95,0.13,10.49,0.76,69.85,15.24,0.06,0.08,233.68,11.43,0.05,0.13,79.38,0.07,0.06,11.43,2.54,59.69,0,0,0
486,,105.78,0.25,24.6,24.35,0.98,20.66,1.23,4624.8,39.36,0.15,0.17,428.04,24.6,0.71,3.69,83.89,0.12,0.11,2122.98,971.7,332.1,0,0,0
487,1,13.24,0.03,3.08,3.05,0.12,2.59,0.15,579.04,4.93,0.02,0.02,53.59,3.08,0.09,0.46,10.5,0.02,0.01,265.8,121.66,41.58,0,0,1
488,4,58.75,0,0,14.82,0.12,9.1,0,0,15,0.01,0.1,162.5,10,0.11,4.25,42.25,0.01,0.08,0,0,0,0,0,0
489,4.2,61.57,0,0,15.54,0.13,9.54,0,0,15.72,0.01,0.1,170.3,10.48,0.12,4.45,44.28,0.01,0.09,0,0,0,0,0,0
490,4,58.75,0,0,14.82,0.12,9.1,0,0,15,0.01,0.1,162.5,10,0.11,4.25,42.25,0.01,0.08,0,0,0,0,0,0
491,4,58.75,0,0,14.82,0.12,9.1,0,0,15,0.01,0.1,162.5,10,0.11,4.25,42.25,0.01,0.08,0,0,0,0,0,0
492,,58.75,0,0,14.82,0.12,9.1,0,0,15,0.01,0.1,162.5,10,0.11,4.25,42.25,0.01,0.08,0,0,0,0,0,0
493,1,14.66,0,0,3.7,0.03,2.27,0,0,3.74,0,0.02,40.56,2.5,0.03,1.06,10.55,0,0.02,0,0,0,0,0,2
494,1,21.84,0.09,0.62,5.24,0,0,0.19,40.87,3.74,0.01,0.01,56.47,2.5,0,0,19.91,0.02,0.01,0,0,0,0,0,3
495,,88.9,0.38,2.54,21.34,0,0,0.76,166.37,15.24,0.06,0.05,229.87,10.16,0,0,81.03,0.08,0.06,0,0,0,0,0,3
496,,121.72,3.76,320.41,15.61,0.9,2.11,6.26,2040.6,19.69,0.04,1.56,300.72,19.69,0.66,5.73,4.47,0.13,0.14,1018.51,413.49,0,3053.74,21.48,2
497,,75.26,3.48,46.86,0,0,0,10.3,0,5.68,0.01,1.42,134.9,6.39,0.28,0.57,1.35,0.09,0.07,0,0,0,0,19.88,3
498,2.5,75.26,3.48,46.86,0,0,0,10.3,0,5.68,0.01,1.42,134.9,6.39,0.28,0.57,1.35,0.09,0.07,0,0,0,0,19.88,3
499,2.5,75.26,3.48,46.86,0,0,0,10.3,0,5.68,0.01,1.42,134.9,6.39,0.28,0.57,1.35,0.09,0.07,0,0,0,0,19.88,3
500,1,30.05,1.39,18.71,0,0,0,4.11,0,2.27,0,0.57,53.86,2.55,0.11,0.23,0.54,0.03,0.03,0,0,0,0,7.94,3
